date,user_submitted_review,title,total_purchased,customer_type
1/31/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
2009-08-19,Would not recommend,R For Dummies,4,Individual
2006-03-19,I learned a lot,R For Dummies,2,Individual
6/14/19,Awesome!,Fundamentals of R For Beginners,5,Individual
1/14/19,OK,R vs Python: An Essay,3,Business
9/17/19,NA,R For Dummies,3,Business
4/19/19,A lot of material was not needed,R For Dummies,3,Individual
3/15/19,A lot of material was not needed,R vs Python: An Essay,4,Business
2001-10-19,OK,Fundamentals of R For Beginners,3,Individual
6/30/19,OK,R For Dummies,6,Business
10/17/19,NA,Fundamentals of R For Beginners,NA,Individual
2012-11-19,Hated it,R For Dummies,3,Individual
7/22/19,I learned a lot,R vs Python: An Essay,2,Business
3/24/19,NA,Secrets Of R For Advanced Students,7,Business
11/22/19,Never read a better book,R vs Python: An Essay,NA,Business
6/29/19,Hated it,R For Dummies,1,Individual
10/24/19,I learned a lot,R For Dummies,2,Business
3/22/19,OK,R vs Python: An Essay,2,Business
4/13/19,OK,R For Dummies,NA,Business
2005-09-19,Awesome!,R For Dummies,6,Business
10/25/19,I learned a lot,R For Dummies,2,Business
2001-12-19,The author's other books were better,Fundamentals of R For Beginners,1,Individual
4/16/19,NA,Fundamentals of R For Beginners,6,Business
2002-07-19,,Secrets Of R For Advanced Students,NA,Business
10/13/19,it was okay,Fundamentals of R For Beginners,3,Individual
2008-07-19,A lot of material was not needed,R vs Python: An Essay,5,Business
2010-05-19,NA,R For Dummies,5,Business
6/30/19,NA,Secrets Of R For Advanced Students,2,Business
2/28/19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Individual
11/27/19,Never read a better book,R For Dummies,9,Business
2005-03-19,OK,Fundamentals of R For Beginners,5,Business
10/26/19,Would not recommend,R For Dummies,6,Business
2004-07-19,Never read a better book,Fundamentals of R For Beginners,3,Business
6/29/19,,Fundamentals of R For Beginners,1,Business
2/20/19,I learned a lot,Top 10 Mistakes R Beginners Make,7,Business
4/27/19,it was okay,Fundamentals of R For Beginners,7,Business
2007-12-19,Would not recommend,R For Dummies,3,Business
8/13/19,The author's other books were better,R For Dummies,5,Business
5/18/19,NA,Fundamentals of R For Beginners,2,Business
2004-04-19,Awesome!,R vs Python: An Essay,5,Individual
2008-11-19,I learned a lot,Fundamentals of R For Beginners,3,Business
6/21/19,Hated it,R For Dummies,5,Business
2001-06-19,Hated it,Secrets Of R For Advanced Students,NA,Business
2007-01-19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Individual
2/28/19,,Fundamentals of R For Beginners,3,Business
2002-12-19,it was okay,Fundamentals of R For Beginners,5,Individual
2003-01-19,Would not recommend,R For Dummies,3,Business
2009-09-19,OK,Fundamentals of R For Beginners,2,Individual
2001-11-19,I learned a lot,Fundamentals of R For Beginners,6,Business
2005-09-19,Hated it,R For Dummies,NA,Business
7/16/19,I learned a lot,Fundamentals of R For Beginners,2,Business
6/24/19,OK,R For Dummies,NA,Individual
12/16/19,Awesome!,Fundamentals of R For Beginners,4,Business
9/27/19,it was okay,R For Dummies,7,Individual
8/14/19,I learned a lot,Secrets Of R For Advanced Students,5,Business
2012-11-19,Would not recommend,R For Dummies,4,Business
1/31/19,Hated it,Fundamentals of R For Beginners,4,Business
12/29/19,Hated it,R vs Python: An Essay,5,Business
4/23/19,I learned a lot,R For Dummies,6,Business
2005-11-19,The author's other books were better,R For Dummies,4,Individual
1/18/19,OK,Fundamentals of R For Beginners,4,Business
4/29/19,,Secrets Of R For Advanced Students,3,Individual
2007-11-19,A lot of material was not needed,R vs Python: An Essay,5,Individual
2006-08-19,The author's other books were better,R vs Python: An Essay,7,Business
2010-01-19,NA,Fundamentals of R For Beginners,3,Individual
2009-06-19,NA,R For Dummies,4,Individual
2002-11-19,Would not recommend,Fundamentals of R For Beginners,NA,Individual
7/13/19,A lot of material was not needed,Fundamentals of R For Beginners,4,Business
2002-05-19,Awesome!,R For Dummies,NA,Individual
11/15/19,Hated it,Fundamentals of R For Beginners,NA,Business
12/13/19,,R vs Python: An Essay,3,Individual
3/21/19,Hated it,R vs Python: An Essay,5,Individual
3/31/19,OK,R vs Python: An Essay,6,Business
5/28/19,Would not recommend,R vs Python: An Essay,4,Business
6/19/19,Hated it,Fundamentals of R For Beginners,6,Business
6/13/19,,Fundamentals of R For Beginners,5,Business
2004-09-19,Never read a better book,Fundamentals of R For Beginners,1,Business
2009-02-19,I learned a lot,R For Dummies,NA,Business
7/20/19,,Fundamentals of R For Beginners,3,Business
2004-08-19,Awesome!,R For Dummies,6,Individual
2010-09-19,Awesome!,Fundamentals of R For Beginners,2,Business
2/16/19,Hated it,R For Dummies,4,Business
2005-11-19,OK,Fundamentals of R For Beginners,3,Individual
5/16/19,it was okay,Fundamentals of R For Beginners,9,Business
10/24/19,I learned a lot,R For Dummies,2,Business
2004-04-19,Never read a better book,R For Dummies,7,Individual
2003-05-19,OK,Fundamentals of R For Beginners,1,Business
6/20/19,NA,R For Dummies,4,Individual
9/22/19,I learned a lot,R For Dummies,3,Business
4/14/19,Would not recommend,Fundamentals of R For Beginners,3,Business
9/20/19,OK,R For Dummies,NA,Individual
2001-02-19,OK,Fundamentals of R For Beginners,5,Business
5/31/19,OK,Fundamentals of R For Beginners,2,Business
8/21/19,Awesome!,Secrets Of R For Advanced Students,5,Business
2007-09-19,The author's other books were better,R For Dummies,10,Business
8/22/19,Awesome!,R For Dummies,NA,Business
9/20/19,Would not recommend,R For Dummies,6,Individual
11/23/19,Would not recommend,Fundamentals of R For Beginners,NA,Business
2002-10-19,,R For Dummies,4,Individual
3/16/19,Awesome!,R For Dummies,6,Business
2001-03-19,NA,R For Dummies,4,Individual
7/21/19,Hated it,Fundamentals of R For Beginners,4,Business
2009-11-19,Awesome!,Fundamentals of R For Beginners,3,Individual
4/21/19,NA,Fundamentals of R For Beginners,NA,Business
4/17/19,Never read a better book,Fundamentals of R For Beginners,2,Business
3/17/19,OK,Secrets Of R For Advanced Students,2,Individual
4/16/19,Would not recommend,Secrets Of R For Advanced Students,2,Business
2/23/19,OK,Fundamentals of R For Beginners,NA,Business
11/18/19,OK,R vs Python: An Essay,2,Business
2001-07-19,Would not recommend,R For Dummies,4,Business
2009-05-19,Never read a better book,R For Dummies,6,Business
2006-09-19,Hated it,R For Dummies,7,Business
6/17/19,Never read a better book,Secrets Of R For Advanced Students,NA,Individual
9/20/19,Awesome!,R For Dummies,7,Business
7/20/19,A lot of material was not needed,R For Dummies,4,Business
5/25/19,,R For Dummies,4,Business
2004-05-19,The author's other books were better,R For Dummies,3,Individual
11/24/19,Hated it,Secrets Of R For Advanced Students,6,Individual
2002-04-19,Hated it,Top 10 Mistakes R Beginners Make,2,Business
8/17/19,Would not recommend,R vs Python: An Essay,NA,Business
7/29/19,Would not recommend,R For Dummies,11,Business
2/21/19,The author's other books were better,Fundamentals of R For Beginners,4,Business
2004-06-19,Would not recommend,Secrets Of R For Advanced Students,1,Individual
2003-05-19,The author's other books were better,Fundamentals of R For Beginners,4,Business
11/28/19,OK,Fundamentals of R For Beginners,1,Business
8/22/19,it was okay,Fundamentals of R For Beginners,2,Business
10/24/19,Never read a better book,Top 10 Mistakes R Beginners Make,2,Individual
7/30/19,Would not recommend,Secrets Of R For Advanced Students,0,Business
2011-02-19,OK,Fundamentals of R For Beginners,3,Business
2008-09-19,Awesome!,Fundamentals of R For Beginners,4,Business
12/25/19,The author's other books were better,Secrets Of R For Advanced Students,6,Individual
2001-06-19,The author's other books were better,Fundamentals of R For Beginners,7,Business
4/22/19,Never read a better book,R vs Python: An Essay,7,Individual
2012-02-19,Awesome!,R For Dummies,6,Individual
2/20/19,,R Made Easy,9,Individual
2003-02-19,The author's other books were better,Fundamentals of R For Beginners,3,Business
1/15/19,Awesome!,R For Dummies,3,Business
2007-02-19,A lot of material was not needed,R vs Python: An Essay,7,Business
2005-01-19,OK,Fundamentals of R For Beginners,4,Business
2011-01-19,The author's other books were better,R For Dummies,4,Business
1/23/19,Would not recommend,R vs Python: An Essay,3,Individual
1/23/19,Hated it,R For Dummies,4,Individual
2012-11-19,Never read a better book,Fundamentals of R For Beginners,6,Individual
3/27/19,Hated it,R For Dummies,1,Business
12/17/19,I learned a lot,Fundamentals of R For Beginners,6,Business
8/26/19,A lot of material was not needed,R For Dummies,3,Business
2008-02-19,Awesome!,R vs Python: An Essay,5,Business
2002-08-19,OK,Fundamentals of R For Beginners,7,Individual
2004-10-19,Awesome!,Fundamentals of R For Beginners,8,Individual
2004-04-19,OK,Fundamentals of R For Beginners,3,Business
2006-06-19,Would not recommend,R vs Python: An Essay,1,Business
6/27/19,it was okay,R vs Python: An Essay,5,Individual
3/18/19,The author's other books were better,Fundamentals of R For Beginners,8,Business
9/22/19,Would not recommend,Secrets Of R For Advanced Students,7,Business
4/13/19,it was okay,Secrets Of R For Advanced Students,3,Individual
11/22/19,The author's other books were better,Fundamentals of R For Beginners,5,Individual
7/20/19,it was okay,R vs Python: An Essay,7,Business
2008-02-19,The author's other books were better,R For Dummies,4,Individual
8/19/19,Would not recommend,Secrets Of R For Advanced Students,4,Business
2004-02-19,Hated it,Secrets Of R For Advanced Students,5,Business
2012-01-19,Hated it,Fundamentals of R For Beginners,5,Business
2003-11-19,OK,R For Dummies,5,Business
2005-02-19,The author's other books were better,R For Dummies,3,Business
2008-05-19,The author's other books were better,Fundamentals of R For Beginners,1,Business
2007-02-19,NA,Fundamentals of R For Beginners,1,Individual
2012-07-19,A lot of material was not needed,Secrets Of R For Advanced Students,2,Business
2011-06-19,it was okay,R For Dummies,4,Individual
10/16/19,NA,R For Dummies,4,Business
8/21/19,A lot of material was not needed,Top 10 Mistakes R Beginners Make,6,Business
2004-04-19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Business
2/19/19,,R vs Python: An Essay,7,Business
9/28/19,A lot of material was not needed,Fundamentals of R For Beginners,3,Individual
4/25/19,Awesome!,Fundamentals of R For Beginners,5,Individual
2006-10-19,NA,R vs Python: An Essay,6,Business
10/13/19,NA,Fundamentals of R For Beginners,6,Business
2008-07-19,The author's other books were better,R For Dummies,8,Business
2009-08-19,Hated it,Fundamentals of R For Beginners,4,Business
2006-08-19,Hated it,Fundamentals of R For Beginners,NA,Business
9/18/19,I learned a lot,Secrets Of R For Advanced Students,6,Individual
9/29/19,Hated it,R For Dummies,NA,Business
6/17/19,NA,Fundamentals of R For Beginners,2,Business
10/14/19,NA,Fundamentals of R For Beginners,5,Individual
2/28/19,I learned a lot,Fundamentals of R For Beginners,6,Business
3/27/19,A lot of material was not needed,R For Dummies,1,Individual
9/24/19,OK,R vs Python: An Essay,8,Business
2006-09-19,The author's other books were better,Fundamentals of R For Beginners,0,Business
8/13/19,it was okay,Fundamentals of R For Beginners,4,Business
1/27/19,NA,Fundamentals of R For Beginners,3,Individual
2002-03-19,Never read a better book,Secrets Of R For Advanced Students,3,Business
7/28/19,,Fundamentals of R For Beginners,2,Business
2008-07-19,it was okay,R For Dummies,NA,Business
2004-02-19,The author's other books were better,R For Dummies,NA,Individual
2001-02-19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Business
3/17/19,I learned a lot,Fundamentals of R For Beginners,2,Individual
2005-05-19,Never read a better book,R For Dummies,4,Business
11/30/19,it was okay,Fundamentals of R For Beginners,3,Business
7/23/19,,Fundamentals of R For Beginners,NA,Business
2003-07-19,The author's other books were better,Secrets Of R For Advanced Students,2,Business
2003-09-19,The author's other books were better,R vs Python: An Essay,3,Business
7/24/19,NA,R For Dummies,NA,Business
2001-12-19,OK,R For Dummies,5,Business
2004-02-19,NA,R For Dummies,4,Individual
2006-04-19,it was okay,Secrets Of R For Advanced Students,5,Individual
10/28/19,NA,R vs Python: An Essay,NA,Business
2012-04-19,OK,R vs Python: An Essay,7,Individual
5/27/19,NA,Fundamentals of R For Beginners,5,Business
6/27/19,OK,Fundamentals of R For Beginners,6,Business
10/31/19,OK,Fundamentals of R For Beginners,4,Business
2001-05-19,The author's other books were better,Fundamentals of R For Beginners,5,Business
9/27/19,The author's other books were better,R vs Python: An Essay,6,Business
1/17/19,it was okay,R vs Python: An Essay,8,Business
1/30/19,it was okay,R vs Python: An Essay,6,Business
4/16/19,The author's other books were better,Fundamentals of R For Beginners,3,Business
1/15/19,,R vs Python: An Essay,2,Business
2003-10-19,Never read a better book,Secrets Of R For Advanced Students,4,Individual
2012-09-19,Hated it,R For Dummies,3,Business
2010-05-19,OK,Secrets Of R For Advanced Students,NA,Business
12/24/19,NA,R For Dummies,0,Business
12/25/19,it was okay,Secrets Of R For Advanced Students,6,Individual
2003-05-19,Awesome!,R For Dummies,4,Business
3/19/19,NA,Fundamentals of R For Beginners,2,Individual
1/18/19,Awesome!,R For Dummies,1,Business
8/17/19,I learned a lot,R For Dummies,NA,Business
6/23/19,I learned a lot,R For Dummies,5,Business
6/17/19,I learned a lot,Secrets Of R For Advanced Students,1,Business
2002-01-19,A lot of material was not needed,R For Dummies,6,Business
6/24/19,A lot of material was not needed,R For Dummies,2,Business
2010-12-19,Hated it,Fundamentals of R For Beginners,8,Individual
5/23/19,Would not recommend,R For Dummies,3,Individual
2012-12-19,A lot of material was not needed,Secrets Of R For Advanced Students,5,Business
8/20/19,I learned a lot,Secrets Of R For Advanced Students,5,Business
2010-03-19,OK,R vs Python: An Essay,5,Business
2001-06-19,Awesome!,Fundamentals of R For Beginners,8,Business
2004-11-19,Never read a better book,Fundamentals of R For Beginners,2,Individual
2005-08-19,Never read a better book,R For Dummies,3,Individual
2007-05-19,I learned a lot,R For Dummies,3,Business
8/23/19,A lot of material was not needed,R For Dummies,NA,Business
7/27/19,Would not recommend,R vs Python: An Essay,3,Individual
7/16/19,Awesome!,Fundamentals of R For Beginners,5,Business
2/17/19,Would not recommend,R For Dummies,1,Business
3/23/19,OK,R vs Python: An Essay,5,Business
2006-07-19,The author's other books were better,Fundamentals of R For Beginners,4,Business
2003-08-19,,Fundamentals of R For Beginners,2,Business
9/21/19,Would not recommend,R For Dummies,5,Business
3/22/19,it was okay,R vs Python: An Essay,NA,Business
3/28/19,Awesome!,R Made Easy,4,Business
2004-05-19,A lot of material was not needed,R vs Python: An Essay,4,Individual
2008-03-19,The author's other books were better,R For Dummies,3,Business
2007-07-19,Hated it,R For Dummies,2,Individual
2001-12-19,Never read a better book,Fundamentals of R For Beginners,2,Business
11/13/19,A lot of material was not needed,Fundamentals of R For Beginners,NA,Business
11/16/19,OK,Fundamentals of R For Beginners,3,Business
2001-03-19,,R vs Python: An Essay,7,Business
2011-08-19,,R For Dummies,3,Business
1/31/19,I learned a lot,Fundamentals of R For Beginners,2,Individual
12/19/19,,R vs Python: An Essay,3,Business
2008-03-19,Hated it,Fundamentals of R For Beginners,1,Business
1/13/19,I learned a lot,Fundamentals of R For Beginners,5,Business
2003-03-19,NA,Fundamentals of R For Beginners,2,Business
2008-11-19,OK,Secrets Of R For Advanced Students,7,Business
11/13/19,OK,R For Dummies,7,Business
2008-02-19,OK,R For Dummies,3,Business
7/16/19,,Fundamentals of R For Beginners,3,Business
3/15/19,Awesome!,Fundamentals of R For Beginners,4,Business
5/13/19,NA,R vs Python: An Essay,3,Individual
5/16/19,Would not recommend,R vs Python: An Essay,4,Business
11/24/19,it was okay,Fundamentals of R For Beginners,9,Individual
2012-02-19,OK,Secrets Of R For Advanced Students,NA,Business
11/29/19,I learned a lot,Secrets Of R For Advanced Students,4,Business
2002-04-19,it was okay,Fundamentals of R For Beginners,3,Business
7/23/19,OK,R For Dummies,5,Business
2005-03-19,,Fundamentals of R For Beginners,4,Business
2002-04-19,Hated it,Secrets Of R For Advanced Students,4,Business
2004-05-19,I learned a lot,Fundamentals of R For Beginners,3,Business
2/20/19,OK,Secrets Of R For Advanced Students,3,Business
5/17/19,NA,R For Dummies,7,Business
6/25/19,Never read a better book,R For Dummies,5,Business
2004-08-19,A lot of material was not needed,R For Dummies,1,Business
2002-11-19,,R vs Python: An Essay,1,Business
2008-05-19,OK,R For Dummies,4,Business
2005-04-19,The author's other books were better,R For Dummies,3,Business
9/26/19,I learned a lot,R For Dummies,7,Business
8/14/19,NA,Fundamentals of R For Beginners,2,Business
2003-06-19,it was okay,Fundamentals of R For Beginners,3,Individual
9/30/19,A lot of material was not needed,Secrets Of R For Advanced Students,10,Business
2005-05-19,A lot of material was not needed,Fundamentals of R For Beginners,4,Individual
11/16/19,Never read a better book,Secrets Of R For Advanced Students,NA,Individual
4/29/19,The author's other books were better,Fundamentals of R For Beginners,5,Business
2005-07-19,OK,Fundamentals of R For Beginners,2,Business
2005-03-19,Never read a better book,R For Dummies,7,Business
2008-10-19,,R For Dummies,2,Business
12/13/19,The author's other books were better,R vs Python: An Essay,8,Business
2/26/19,Never read a better book,Fundamentals of R For Beginners,0,Business
2010-02-19,Awesome!,Fundamentals of R For Beginners,NA,Individual
2007-12-19,NA,R For Dummies,5,Business
10/17/19,A lot of material was not needed,R For Dummies,2,Individual
2007-01-19,Hated it,R vs Python: An Essay,1,Business
2011-10-19,,R For Dummies,4,Business
2012-12-19,I learned a lot,Fundamentals of R For Beginners,4,Individual
2005-02-19,NA,Secrets Of R For Advanced Students,2,Business
2006-08-19,The author's other books were better,Secrets Of R For Advanced Students,8,Individual
8/30/19,Hated it,R For Dummies,4,Business
2003-04-19,Hated it,R For Dummies,3,Individual
2005-05-19,I learned a lot,R vs Python: An Essay,3,Business
5/19/19,OK,R vs Python: An Essay,1,Business
2/19/19,NA,Fundamentals of R For Beginners,5,Business
2005-08-19,The author's other books were better,Fundamentals of R For Beginners,2,Business
2012-06-19,The author's other books were better,Secrets Of R For Advanced Students,7,Business
4/28/19,I learned a lot,R For Dummies,7,Individual
2002-11-19,I learned a lot,R vs Python: An Essay,3,Business
1/22/19,,R vs Python: An Essay,9,Business
10/30/19,it was okay,Secrets Of R For Advanced Students,12,Business
2007-05-19,it was okay,R For Dummies,1,Business
6/23/19,NA,Fundamentals of R For Beginners,4,Business
2012-12-19,it was okay,R For Dummies,NA,Business
2010-01-19,Would not recommend,R For Dummies,6,Business
8/22/19,NA,Fundamentals of R For Beginners,3,Business
7/30/19,I learned a lot,R For Dummies,4,Business
2/21/19,it was okay,R For Dummies,2,Business
9/16/19,OK,R For Dummies,5,Business
4/30/19,,R For Dummies,6,Business
10/16/19,,Secrets Of R For Advanced Students,5,Business
6/22/19,I learned a lot,Secrets Of R For Advanced Students,3,Business
2008-11-19,Awesome!,Fundamentals of R For Beginners,NA,Individual
2/26/19,OK,Fundamentals of R For Beginners,4,Individual
2009-04-19,Hated it,R For Dummies,6,Individual
10/20/19,A lot of material was not needed,R vs Python: An Essay,6,Individual
2010-11-19,Hated it,Fundamentals of R For Beginners,4,Business
2004-08-19,Awesome!,Fundamentals of R For Beginners,6,Business
6/22/19,Awesome!,R vs Python: An Essay,1,Business
11/26/19,Would not recommend,Secrets Of R For Advanced Students,2,Business
12/19/19,A lot of material was not needed,Fundamentals of R For Beginners,5,Business
12/29/19,I learned a lot,Secrets Of R For Advanced Students,3,Individual
12/22/19,,R vs Python: An Essay,NA,Individual
12/30/19,OK,R For Dummies,1,Business
2006-01-19,I learned a lot,Secrets Of R For Advanced Students,2,Individual
2002-02-19,A lot of material was not needed,R For Dummies,4,Individual
2002-10-19,A lot of material was not needed,R vs Python: An Essay,5,Business
4/29/19,A lot of material was not needed,Secrets Of R For Advanced Students,2,Business
